dish,dose,genotype,phase,n_obs,pct_center,pct_middle,pct_outer,count_center,count_middle,count_outer
2026-06-03_09.30.50_ROI3_TR_W1118,50:65,W1118,late EtOH,89714,23.409947165436833,24.730811244621798,51.85924158994138,21002,22187,46525
2026-06-03_09.30.50_ROI3_TR_W1118,50:65,W1118,recovery,87653,28.077761171893716,23.55766488311866,48.36457394498762,24611,20649,42393
2026-06-03_09.30.50_ROI4_BR_dSERT,50:65,dSERT,baseline,89336,12.84700456702785,24.817542759917615,62.33545267305453,11477,22171,55688
2026-06-03_09.30.50_ROI4_BR_dSERT,50:65,dSERT,early EtOH,89196,8.771693797928158,16.93685815507422,74.29144804699762,7824,15107,66265
2026-06-03_09.30.50_ROI4_BR_dSERT,50:65,dSERT,late EtOH,89004,8.37939867871107,17.56437912902791,74.05622219226102,7458,15633,65913
2026-06-03_09.30.50_ROI4_BR_dSERT,50:65,dSERT,recovery,87071,7.161971264829852,16.64963076110301,76.18839797406714,6236,14497,66338
2026-06-04_09.57.10_ROI1_TL_W1118,50:65,W1118,baseline,88663,7.8003225697303264,24.167916718360534,68.03176071190914,6916,21428,60319
2026-06-04_09.57.10_ROI1_TL_W1118,50:65,W1118,early EtOH,88241,8.720436078466925,17.18702190591675,74.09254201561633,7695,15166,65380
2026-06-04_09.57.10_ROI1_TL_W1118,50:65,W1118,late EtOH,87811,7.83045404334309,15.892086412863993,76.27745954379292,6876,13955,66980
2026-06-04_09.57.10_ROI1_TL_W1118,50:65,W1118,recovery,84944,4.228668299114711,11.205029195705405,84.56630250517988,3592,9518,71834
2026-06-04_09.57.10_ROI2_BL_dSERT,50:65,dSERT,baseline,80445,7.373982223879668,29.34427248430605,63.28174529181428,5932,23606,50907
2026-06-04_09.57.10_ROI2_BL_dSERT,50:65,dSERT,early EtOH,80138,9.920387331852554,18.871197184856122,71.20841548329132,7950,15123,57065
2026-06-04_09.57.10_ROI2_BL_dSERT,50:65,dSERT,late EtOH,80441,12.074688280851804,19.151925013363833,68.77338670578436,9713,15406,55322
2026-06-04_09.57.10_ROI2_BL_dSERT,50:65,dSERT,recovery,79015,14.861735113586027,21.512371068784407,63.62589381762957,11743,16998,50274
2026-06-04_09.57.10_ROI3_TR_dSERT,50:65,dSERT,baseline,89655,26.946628743516815,20.561039540460655,52.492331716022534,24159,18434,47062
2026-06-04_09.57.10_ROI3_TR_dSERT,50:65,dSERT,early EtOH,89298,7.935228112611704,22.970279289569756,69.09449259781853,7086,20512,61700
2026-06-04_09.57.10_ROI3_TR_dSERT,50:65,dSERT,late EtOH,89187,12.182268716292734,23.05044457151827,64.767286712189,10865,20558,57764
2026-06-04_09.57.10_ROI3_TR_dSERT,50:65,dSERT,recovery,87678,2.9334610734733912,20.479481740003195,76.58705718652341,2572,17956,67150
2026-06-04_09.57.10_ROI4_BR_W1118,50:65,W1118,baseline,80570,19.491125729179597,30.078192875760205,50.4306813950602,15704,24234,40632
2026-06-04_09.57.10_ROI4_BR_W1118,50:65,W1118,early EtOH,80316,8.154041535933064,15.290851138004879,76.55510732606206,6549,12281,61486
2026-06-04_09.57.10_ROI4_BR_W1118,50:65,W1118,late EtOH,80107,6.576204326713022,12.905239242513138,80.51855643077384,5268,10338,64501
2026-06-04_09.57.10_ROI4_BR_W1118,50:65,W1118,recovery,77334,4.099102593943155,14.82271704554271,81.07818036051412,3170,11463,62701
2026-06-17_13.29.19_ROI1_TL_dSERT,50:65,dSERT,baseline,88403,10.388787710824293,30.22748096784046,59.383731321335254,9184,26722,52497
2026-06-17_13.29.19_ROI1_TL_dSERT,50:65,dSERT,early EtOH,89338,7.833172893953301,14.08135395912154,78.08547314692517,6998,12580,69760
2026-06-17_13.29.19_ROI1_TL_dSERT,50:65,dSERT,late EtOH,89152,6.565192031586505,15.11575735821967,78.31905061019383,5853,13476,69823
2026-06-17_13.29.19_ROI1_TL_dSERT,50:65,dSERT,recovery,86891,4.4860802614770225,17.502388049395222,78.01153168912775,3898,15208,67785
2026-06-17_13.29.19_ROI2_BL_W1118,50:65,W1118,baseline,89610,17.89644012944984,24.375627720120523,57.72793215042964,16037,21843,51730
2026-06-17_13.29.19_ROI2_BL_W1118,50:65,W1118,early EtOH,89423,20.171544233586438,42.6802947787482,37.14816098766537,18038,38166,33219
2026-06-17_13.29.19_ROI2_BL_W1118,50:65,W1118,late EtOH,89230,16.671523030370953,40.33060629833016,42.99787067129889,14876,35987,38367
2026-06-17_13.29.19_ROI2_BL_W1118,50:65,W1118,recovery,87310,19.844233192074217,29.666704844805864,50.489061963119916,17326,25902,44082
